Artigo,Entregue,D,V,P.Unit,Soma
Calca Cinta Renda,4,,,7.5,
Calca Martha,3,,,5.1,
Calca Paquita,3,,,4.95,
Calcola Monara,3,,,4.0,
Calcolinha Inf. Sarah,4,,,2.15,
Callesson Noemi,3,,,5.7,
Calça Cema,3,,,5.7,
Calçola Camila,3,,,4.6,
Calçola Justine,2,,,2.9,
Calçola Marcia,3,,,4.65,
Camisola Leia,1,,,15.2,
Conjunto M. Moça Helena,2,,,5.2,
Conjunto Nadia,2,,,15.4,
Conjunto Paulina,2,,,16.3,
Conjunto Renda Luiza,2,,,13.7,
Cueca Box Francisco,3,,,4.95,
Cueca Box Inf. Matheus,4,,,3.25,
Samba Cancao Andre,2,,,7.5,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Melina,2,,,13.4,
Soutien Bojo Audrey,3,,,12.3,
Soutien Ref. Rose,3,,,8.1,
Soutien Top Renda,3,,,7.85,
Tanga Barbara,4,,,3.9,
Tanga Cos Duplo,3,,,6.3,
Tanga Cos Kira,3,,,3.95,
Tanga Eugenia,3,,,3.7,
Tanga Fio Duplo Luz,4,,,5.1,
Tanga Moliny,3,,,4.6,
Tanga Yasmim,4,,,3.85,
