Baby Dool Kell,-----,11.50,
Biquini 10655,-----,"23,70",
Biquini 70238,-----,"29,40",
Biquini 70240,-----,"24,50",
Biquini 70242,-----,"13,50",
Biquini 70272,-----,"31,85",
Biquini 70284,-----,"31,25",
Biquini 70287,-----,"37,10",
Biquini 70288,-----,"31,25",
Biquini 70289,-----,"31,25",
Biquini 70290,-----,"37,10",
Biquini 802,-----,"23,70",
Biquini 807,-----,"23,70",
Biquini 809,-----,"22,50",
Biquini 811,-----,"25,80",
Biquini 812,-----,"23,70",
Biquini 830,-----,"29,30",
Biquini 841,-----,"27,20",
Body Adara,-----,"13,10",
Body Anitta,-----,"12,30",
Body Tasha,-----,"12,30",
Body Vitória,-----,"12,30",
Body Érika,-----,"12,30",
Calca Cinta Renda,-----,"7,50",
Calca Martha,-----,"5,10",
Calca Paquita,-----,"4,95",
Calcola Monara,Cueca Monara,4.00,
Calcola Sedir,Cueca Sedir,"4,65",
Calcolinha Inf. Livia,-----,"2,15",
Calcolinha Inf. Luna,-----,2.00,
Calcolinha Inf. Sarah,-----,"2,15",
Calesson Débora,-----,"4,20",
Calesson Flora,-----,"4,40",
Calesson Malu,-----,"4,80",
Calessson Lamalu,-----,"3,85",
Callesson Julia,-----,"4,80",
Callesson Noemi,-----,"5,70",
Callesson Sofia,-----,4.20,
Callesson Vilary,-----,4.80,
Calça Adrineia,-----,5.20,
Calça Analice,-----,"4,40",
Calça Cema,-----,5.70,
Calça Henriqueta,-----,5.40,
Calça Jucinha,-----,"4,80",
Calça Laís,-----,"4,80",
Calça Macarena,-----,"4,95",
Calça Maressa,-----,"4,10",
Calça Megane,-----,"5,30",
Calça Veronica,-----,4.75,
Calçola Camila,-----,"4,60",
Calçola Carol,-----,"6,20",
Calçola Daivane,-----,5.20,
Calçola Edineia,-----,5.20,
Calçola Irene,-----,"4,55",
Calçola Joelma,-----,"5,20",
Calçola Justine,-----,2.90,
Calçola Marcia,-----,"4,65",
Calçola Su,-----,"4,70",
Calçola Vilma,-----,4.65,
Calçolinha Inf. Agnes,-----,"2,30",
Calçolinha Inf. Grazi,-----,"2,60",
Calçolinha Inf. Lavinia,-----,"3,10",
Calçolinha Inf. Leticia,-----,2.60,
